Sheepmount_x,Sheepmount_y,Bothcherby_x,Bothcherby_y,Denton_Holme_x,Denton_Holme_y,Building_1_x,Building_1_y,water_mark3_x,water_mark3_y,water_mark4_x,water_mark4_y,water_mark5_x,water_mark5_y,water_mark6_x,water_mark6_y,water_mark7_x,water_mark7_y,bus_dep_x,bus_dep_y,substation_x,substation_y,pallett_yard_x,pallett_yard_y,brown_bros_x,brown_bros_y,water_mark1_x,water_mark1_y,water_mark2_x,water_mark2_y
0.25,0,0.25,0,0.25,0,0.749005351228089,0.004418491262972,0.693741756605654,0,0.759511772070624,0,0.841766911887454,0,0.621648085730985,0,0.587115756798362,0,0.653412548156577,0,0.637572555476371,0,0.687592840362139,0,0.873044097995548,0,0.630783810877673,0,0.60945876269837,0
0.5,0,0.5,0,0.5,0,4.66500277144783,0.002463896408292,4.6129272441698,0,3.86350309784691,0.206185753019525,4.6068068688049,0,4.54183445822574,0,4.51493239877303,0,4.57169371708209,0,4.55904701054235,0,4.61033596580091,0,4.56901049952275,0,4.55703029567031,0,4.53439920541602,0
0.75,0,0.75,0,0.75,0.776,8.43004826123198,0.001565736236044,8.26276247364748,0.018269741520554,6.89526870252894,0.4777170340963,8.37184682572234,0,8.31117703240646,0,8.29157268540646,0,8.33927176412586,0,8.32969552502887,0,8.38221269818033,0,8.34040852688514,0,8.33226942501804,0,8.30857785535358,0
1,0,1,0,1,1.0441,9.33370036829126,0.001230117997582,11.0616962735209,0.289810070478072,10.0011495994682,0.718892088302415,12.2120518774945,0,12.2313634049012,0,12.0682677957408,0,9.24187196546776,0,12.1756999975426,0,12.153872524664,0,12.1118981864461,0,12.1829127942833,0,12.0827056752868,0
1.25,0,1.25,1.2262,1.25,1.0685,12.195265373979,0.000167326909118,13.8181712085964,0.578039451587409,12.8831068087048,1.01622675627457,15.1712797984585,0.067630933413622,14.2797358102629,0.164948829936478,14.8049778581369,0.112528946628556,12.1070296478306,0,15.8709355417394,0,15.9255323511476,0,15.8832962138085,0,15.8825819540386,0,15.4013022580332,0.015124549855728
1.5,0,1.5,1.3554,1.5,1.0822,15.3690777022526,0.113155887171937,14.8305637244596,0.959727398404054,14.7120585300713,1.39801395799872,16.4138160557786,0.392774453350384,15.7313290407711,0.426201787916954,15.5974170275014,0.445468810437982,15.8746076948744,0,19.6415840562259,0,19.8482754765863,0,18.1573528475978,0.157089829250185,19.6577658401613,0,15.8221674322814,0.247870330906249
1.75,0,1.75,1.3754,1.75,1.0929,16.820271154564,0.370142928745666,16.1437084469281,1.34802897384168,16.0907394018933,1.83850102193083,18.0269653510438,0.747232105110056,17.4841074311702,0.697950444506318,16.7528800215404,0.815473899005094,19.0449267817545,0.025828987410446,23.5632295480795,0,22.3236139019246,0.061810063111225,19.5306120267261,0.383786191536748,22.974917958784,0.034268202858697,16.7011198667903,0.442715969823336
2,0,2,1.3784,2,1.1079,18.7620748015067,0.611455902909887,18.2929718439545,1.67388158002003,18.2968954767284,2.21514920383559,20.1692233282925,1.02356281743705,20.6450952664177,0.850292154934588,18.6129841546704,1.09910554462375,19.7410734258617,0.318713328448491,24.8175634630035,0.079565604239878,23.1311814334665,0.20347043850272,21.6567356029271,0.589755011135857,24.3007348565965,0.268307547429228,18.9438921469104,0.599785653182596
2.25,0,2.25,1.3798,2.25,1.1197,21.7182994058152,0.773418399873196,21.5861321900777,1.88129658027318,21.5531588641747,2.44322272438424,23.2057197605069,1.22352458713131,23.8818207768896,0.992487043401734,21.6425966922994,1.28595431157392,21.8466235319259,0.527991566882062,25.8527976692688,0.161168105534576,23.9978500281856,0.327700609893447,23.78293180613,0.796782974511259,25.7078242979705,0.461719397753601,21.8807328868667,0.649561285064304
2.5,0.7347,2.5,1.3824,2.5,1.1293,24.2867095078935,0.968437132146974,24.4994369248574,2.11533034075414,24.8099659310503,2.6833251523039,25.4980195558625,1.49530407935179,26.1357834995488,1.21372970369345,24.5980656567776,1.50393876035066,23.6391154772354,0.746014393230187,27.0962667889918,0.246288891619361,24.8615361668375,0.455180893665066,25.005356241383,1.02380598861668,27.0377980336269,0.666487675839741,23.2129580725496,0.841513612362792
2.75,2.4276,2.75,1.386,2.75,1.1434,26.16212324828,1.20817972795042,26.7322499750428,2.42938711623433,27.2412166954356,3.02972213631864,27.3418317722091,1.79410229443491,27.8614208598488,1.45281011320131,26.7318808505322,1.77421350684667,24.7590108173725,0.993715248961213,28.7272704287115,0.325525294276657,25.7394692687025,0.576269629635298,26.153089405027,1.26158129175947,28.2169163327071,0.870196319816999,23.9410152855171,1.03590076464101
3,2.8283,3,1.3897,3,1.1606,27.5084767880107,1.4537431248878,28.9476679078061,2.77632912478643,29.6730947822392,3.38999862883838,29.1105389972956,2.09449000876562,30.039561661776,1.68663709880688,28.5514301433902,2.08026126644285,25.8677038321708,1.24887949263737,30.6603440395154,0.403591045142899,27.0386558669586,0.698320970488376,27.4514370558914,1.49581786686464,29.7752697036153,1.06179133300473,24.9698844639845,1.2383195094223
3.25,3.0182,3.25,1.3944,3.25,1.1775,29.3824851270236,1.69758220543566,31.7043004524338,3.06315420478544,32.6302280289131,3.68044605704835,31.4781096447023,2.3660334257935,32.5199063291398,1.90148523590084,30.9051432016139,2.35431199534109,27.2081938142853,1.48883305162055,33.6584668943881,0.455551261068652,28.9882928207155,0.808222460451125,29.358238625517,1.70334075723831,31.7114047891749,1.25150677218969,25.7740672329051,1.42800649027097
